361976 U	S STAND	ARD							
2.70000 1	0	0  33.6	0000 11	6.44261	0	0.57	065   0	0	
									
WL	H2O	O3	MOLEC						
(NM)	TRANS	TRANS	SCAT						
669.5	1	0.982	0.963						
670	1	0.9822	0.9631						
670.5	1	0.9824	0.9632						
671	1	0.9826	0.9633						
671.5	1	0.9828	0.9635						
672	1	0.983	0.9636						
672.5	1	0.9832	0.9637						
673	1	0.9834	0.9638						
673.5	1	0.9836	0.9639						
674	1	0.9838	0.964						
674.5	1	0.984	0.9641						
675	1	0.9841	0.9642						
675.5	1	0.9843	0.9643						
676	1	0.9845	0.9644						
676.5	1	0.9847	0.9645						
677	1	0.9848	0.9646						
677.5	1	0.985	0.9647						
678	1	0.9852	0.9648						
678.5	1	0.9853	0.9649						
679	1	0.9855	0.965						
679.5	1	0.9856	0.9652						
680	1	0.9857	0.9653						
680.5	0.9999	0.9858	0.9653						
681	0.9999	0.986	0.9654						
681.5	0.9999	0.9861	0.9655						
682	0.9999	0.9862	0.9656						
682.5	0.9998	0.9863	0.9658						
683	0.9998	0.9864	0.9659						
683.5	0.9998	0.9865	0.966						
684	0.9997	0.9866	0.966						
684.5	0.9997	0.9867	0.9661						
685	0.9997	0.9869	0.9662						
685.5	0.9998	0.987	0.9663						
686	0.9997	0.9871	0.9665						
686.5	0.9996	0.9873	0.9665						
687	0.9995	0.9874	0.9666						
687.5	0.9996	0.9876	0.9667						
688	0.9997	0.9877	0.9668						
688.5	0.9998	0.9879	0.9669						
689	0.9997	0.9881	0.967						
689.5	0.9996	0.9883	0.9671						
690	0.9994	0.9884	0.9672						
690.5	0.9992	0.9886	0.9673						
691	0.9988	0.9888	0.9674						
691.5	0.9981	0.9889	0.9675						
692	0.996	0.9891	0.9676						
692.5	0.9923	0.9892	0.9677						
693	0.9888	0.9894	0.9678						
693.5	0.9853	0.9895	0.9679						
694	0.981	0.9897	0.9679						
694.5	0.9789	0.9898	0.968						
695	0.9812	0.99	0.9681						
695.5	0.9826	0.9901	0.9682						
696	0.9818	0.9902	0.9683						
696.5	0.9874	0.9904	0.9684						
697	0.9944	0.9905	0.9685						
697.5	0.9957	0.9907	0.9686						
698	0.9946	0.9908	0.9687						
698.5	0.9908	0.9909	0.9688						
699	0.9855	0.991	0.9689						
699.5	0.985	0.9911	0.969						
700	0.9872	0.9912	0.969						
700.5	0.9873	0.9913	0.9691						
701	0.9866	0.9914	0.9692						
701.5	0.987	0.9915	0.9693						
702	0.9874	0.9916	0.9694						
702.5	0.9874	0.9917	0.9695						
703	0.9889	0.9918	0.9696						
703.5	0.9931	0.9919	0.9696						
704	0.9925	0.9919	0.9697						
704.5	0.9926	0.992	0.9698						
705	0.9927	0.9921	0.9699						
705.5	0.992	0.9921	0.97						
706	0.993	0.9922	0.9701						
706.5	0.994	0.9923	0.9701						
707	0.9951	0.9923	0.9702						
707.5	0.9953	0.9924	0.9703						
708	0.9951	0.9924	0.9704						
708.5	0.9961	0.9925	0.9705						
709	0.9965	0.9925	0.9706						
709.5	0.9966	0.9926	0.9707						
710	0.9961	0.9926	0.9707						
710.5	0.9959	0.9927	0.9708						
711	0.9965	0.9927	0.9709						
711.5	0.9972	0.9927	0.971						
712	0.9974	0.9928	0.9711						
712.5	0.9972	0.9928	0.9711						
713	0.9965	0.9928	0.9712						
713.5	0.9965	0.9928	0.9713						
714	0.9963	0.9928	0.9714						
714.5	0.9954	0.9929	0.9715						
715	0.994	0.9929	0.9716						
715.5	0.9934	0.9929	0.9716						
716	0.9915	0.993	0.9717						
716.5	0.9822	0.9931	0.9718						
717	0.9617	0.9931	0.9719						
717.5	0.9418	0.9932	0.9719						
718	0.9331	0.9933	0.972						
718.5	0.9186	0.9934	0.9721						
719	0.9089	0.9935	0.9722						
719.5	0.9103	0.9936	0.9722						
720	0.9127	0.9938	0.9723						
720.5	0.9234	0.9939	0.9724						
721	0.9492	0.994	0.9725						
721.5	0.9737	0.9941	0.9726						
722	0.9817	0.9942	0.9726						
722.5	0.9787	0.9943	0.9727						
723	0.9622	0.9943	0.9728						
723.5	0.937	0.9944	0.9729						
724	0.9346	0.9945	0.9729						
724.5	0.9361	0.9946	0.973						
725	0.9407	0.9947	0.9731						
725.5	0.9444	0.9947	0.9731						
726	0.9526	0.9948	0.9732						
726.5	0.9519	0.9949	0.9733						
727	0.9505	0.9949	0.9734						
727.5	0.942	0.995	0.9735						
728	0.9403	0.9951	0.9735						
728.5	0.9566	0.9951	0.9736						
729	0.9548	0.9952	0.9737						
729.5	0.9569	0.9953	0.9737						
730	0.9644	0.9953	0.9738						
730.5	0.9609	0.9954	0.9739						
731	0.9614	0.9954	0.974						
731.5	0.9642	0.9955	0.974						
732	0.971	0.9955	0.9741						
732.5	0.9819	0.9956	0.9742						
733	0.9865	0.9956	0.9742						
733.5	0.9867	0.9956	0.9743						
734	0.9896	0.9956	0.9744						
734.5	0.9906	0.9956	0.9744						
735	0.9899	0.9957	0.9745						
735.5	0.9902	0.9957	0.9746						
736	0.9892	0.9957	0.9747						
736.5	0.9886	0.9957	0.9747						
737	0.9895	0.9957	0.9748						
737.5	0.9921	0.9957	0.9749						
738	0.994	0.9957	0.9749						
738.5	0.9941	0.9957	0.975						
739	0.9947	0.9957	0.9751						
739.5	0.9949	0.9957	0.9751						
740	0.9956	0.9957	0.9752						
740.5	0.9971	0.9957	0.9753						
741	0.9975	0.9957	0.9753						
741.5	0.9979	0.9956	0.9754						
742	0.9984	0.9956	0.9755						
742.5	0.9983	0.9956	0.9755						
743	0.9989	0.9956	0.9756						
743.5	0.9995	0.9955	0.9757						
744	0.9995	0.9955	0.9757						
744.5	0.9995	0.9954	0.9758						
745	0.9997	0.9954	0.9758						
745.5	0.9997	0.9954	0.9759						
746	0.9997	0.9954	0.976						
746.5	0.9998	0.9954	0.9761						
747	0.9998	0.9954	0.9761						
747.5	0.9999	0.9954	0.9762						
748	0.9999	0.9954	0.9762						
748.5	0.9999	0.9955	0.9763						
749	0.9999	0.9956	0.9764						
749.5	0.9999	0.9957	0.9764						
750	0.9999	0.9957	0.9765						
750.5	0.9999	0.9958	0.9765						
751	1	0.996	0.9766						
751.5	1	0.9961	0.9767						
752	1	0.9962	0.9767						
752.5	1	0.9963	0.9768						
753	1	0.9964	0.9769						
753.5	1	0.9965	0.9769						
754	0.9999	0.9966	0.977						
754.5	0.9999	0.9967	0.977						
755	0.9999	0.9968	0.9771						
755.5	1	0.9969	0.9772						
756	1	0.9969	0.9772						
756.5	1	0.997	0.9773						
757	1	0.9971	0.9773						
757.5	1	0.9971	0.9774						
758	1	0.9972	0.9775						
758.5	1	0.9972	0.9775						
759	1	0.9973	0.9776						
759.5	1	0.9973	0.9777						
760	1	0.9973	0.9777						
760.5	1	0.9973	0.9778						
761	1	0.9974	0.9778						
761.5	1	0.9974	0.9779						
762	1	0.9973	0.9779						
762.5	1	0.9972	0.978						
763	1	0.9972	0.9781						
763.5	1	0.9972	0.9781						
764	1	0.9972	0.9782						
764.5	1	0.9972	0.9782						
765	1	0.9972	0.9783						
765.5	1	0.9972	0.9783						
766	1	0.9973	0.9784						
766.5	1	0.9973	0.9785						
767	1	0.9973	0.9785						
767.5	1	0.9973	0.9786						
768	1	0.9973	0.9786						
768.5	1	0.9973	0.9787						
769	1	0.9973	0.9787						
769.5	1	0.9973	0.9788						
770	1	0.9973	0.9788						
770.5	1	0.9973	0.9789						
771	1	0.9972	0.9789						
771.5	1	0.9972	0.979						
772	1	0.9972	0.979						
772.5	1	0.9971	0.9791						
773	1	0.9971	0.9792						
773.5	1	0.997	0.9792						
774	1	0.997	0.9793						
774.5	1	0.9969	0.9793						
775	1	0.9968	0.9794						
775.5	1	0.9968	0.9794						
776	1	0.9967	0.9795						
776.5	1	0.9967	0.9795						
777	1	0.9966	0.9796						
777.5	1	0.9966	0.9797						
778	1	0.9966	0.9797						
778.5	1	0.9966	0.9797						
779	1	0.9966	0.9798						
779.5	1	0.9966	0.9798						
780	1	0.9966	0.9799						
780.5	1	0.9967	0.98						
781	1	0.9967	0.98						
781.5	1	0.9968	0.9801						
782	1	0.9968	0.9801						
782.5	0.9999	0.9969	0.9802						
783	0.9999	0.997	0.9802						
783.5	0.9999	0.997	0.9802						
784	0.9999	0.9971	0.9803						
784.5	0.9999	0.9972	0.9804						
785	0.9996	0.9973	0.9804						
785.5	0.9994	0.9974	0.9805						
786	0.9992	0.9974	0.9805						
786.5	0.9982	0.9975	0.9806						
787	0.9973	0.9976	0.9806						
787.5	0.9971	0.9976	0.9806						
788	0.9963	0.9976	0.9807						
788.5	0.9954	0.9977	0.9808						
789	0.9934	0.9977	0.9808						
789.5	0.9911	0.9978	0.9809						
790	0.9906	0.9978	0.9809						
790.5	0.991	0.9979	0.9809						
791	0.9914	0.9979	0.981						
791.5	0.9928	0.998	0.981						
792	0.9931	0.998	0.9811						
792.5	0.9915	0.998	0.9811						
793	0.9921	0.9981	0.9812						
793.5	0.996	0.9981	0.9812						
794	0.9983	0.9982	0.9813						
794.5	0.9981	0.9982	0.9813						
795	0.9971	0.9982	0.9814						
795.5	0.9953	0.9982	0.9814						
796	0.9901	0.9983	0.9815						
796.5	0.9882	0.9983	0.9815						
797	0.9921	0.9983	0.9816						
797.5	0.9945	0.9983	0.9816						
798	0.9958	0.9983	0.9817						
798.5	0.9954	0.9983	0.9817						
799	0.9956	0.9983	0.9817						
799.5	0.9956	0.9984	0.9818						
800	0.9935	0.9984	0.9818						
800.5	0.992	0.9984	0.9819						
801	0.9914	0.9984	0.9819						
801.5	0.9919	0.9984	0.982						
802	0.993	0.9984	0.982						
802.5	0.9924	0.9984	0.9821						
803	0.9921	0.9984	0.9821						
803.5	0.9928	0.9984	0.9822						
804	0.9933	0.9984	0.9822						
804.5	0.9935	0.9984	0.9822						
805	0.9955	0.9984	0.9823						
805.5	0.9973	0.9984	0.9823						
806	0.9974	0.9983	0.9824						
806.5	0.9971	0.9983	0.9824						
807	0.9971	0.9983	0.9825						
807.5	0.9973	0.9983	0.9825						
808	0.997	0.9982	0.9826						
808.5	0.9961	0.9982	0.9826						
809	0.9953	0.9981	0.9826						
809.5	0.9936	0.9981	0.9827						
810	0.9937	0.998	0.9827						
810.5	0.9946	0.998	0.9827						
811	0.9924	0.998	0.9828						
811.5	0.9893	0.9979	0.9828						
812	0.9875	0.9979	0.9829						
812.5	0.9859	0.9979	0.9829						
813	0.978	0.9978	0.983						
813.5	0.9627	0.9978	0.983						
814	0.9571	0.9978	0.9831						
814.5	0.954	0.9977	0.9831						
815	0.9441	0.9977	0.9831						
815.5	0.9328	0.9977	0.9832						
816	0.9227	0.9977	0.9832						
816.5	0.9161	0.9977	0.9833						
817	0.9299	0.9977	0.9833						
817.5	0.9305	0.9977	0.9833						
818	0.9122	0.9977	0.9834						
818.5	0.9258	0.9978	0.9834						
819	0.9372	0.9978	0.9835						
819.5	0.9384	0.9979	0.9835						
820	0.9378	0.9979	0.9835						
820.5	0.9619	0.9979	0.9836						
821	0.9804	0.998	0.9836						
821.5	0.9788	0.9981	0.9837						
822	0.9666	0.9981	0.9837						
822.5	0.926	0.9982	0.9837						
823	0.8724	0.9983	0.9838						
823.5	0.8954	0.9983	0.9838						
824	0.9487	0.9984	0.9839						
824.5	0.9691	0.9985	0.9839						
825	0.974	0.9985	0.9839						
825.5	0.9687	0.9986	0.984						
826	0.9636	0.9987	0.984						
826.5	0.9757	0.9987	0.9841						
827	0.9788	0.9988	0.9841						
827.5	0.9543	0.9988	0.9841						
828	0.94	0.9988	0.9842						
828.5	0.9495	0.9989	0.9842						
829	0.9496	0.9989	0.9842						
829.5	0.9533	0.9989	0.9843						
830	0.964	0.999	0.9843						
830.5	0.9654	0.999	0.9844						
831	0.9747	0.999	0.9844						
831.5	0.9734	0.9991	0.9844						
832	0.9614	0.9991	0.9845						
832.5	0.9692	0.9991	0.9845						
833	0.98	0.9991	0.9845						
833.5	0.9776	0.9991	0.9846						
834	0.9794	0.9991	0.9846						
834.5	0.9876	0.9992	0.9847						
835	0.9901	0.9992	0.9847						
835.5	0.9882	0.9992	0.9847						
836	0.9883	0.9992	0.9848						
836.5	0.9899	0.9992	0.9848						
837	0.9921	0.9992	0.9849						
837.5	0.9926	0.9992	0.9849						
838	0.9931	0.9992	0.9849						
838.5	0.9947	0.9992	0.985						
839	0.9953	0.9992	0.985						
839.5	0.9962	0.9992	0.985						
840	0.9964	0.9992	0.9851						
840.5	0.9955	0.9992	0.9851						
841	0.9947	0.9992	0.9851						
841.5	0.9957	0.9992	0.9852						
842	0.9965	0.9992	0.9852						
842.5	0.9977	0.9992	0.9852						
843	0.9977	0.9991	0.9853						
843.5	0.997	0.9991	0.9853						
844	0.9971	0.9991	0.9853						
844.5	0.9979	0.9991	0.9854						
845	0.9986	0.9991	0.9854						
845.5	0.9991	0.999	0.9855						
846	0.9991	0.999	0.9855						
846.5	0.9989	0.999	0.9855						
847	0.9994	0.999	0.9856						
847.5	0.9995	0.9989	0.9856						
848	0.9988	0.9989	0.9856						
848.5	0.9984	0.9988	0.9857						
849	0.9985	0.9988	0.9857						
849.5	0.9988	0.9987	0.9857						
850	0.9988	0.9987	0.9857						
850.5	0.9985	0.9987	0.9858						
851	0.998	0.9986	0.9858						
851.5	0.9976	0.9986	0.9858						
852	0.9981	0.9985	0.9859						
852.5	0.9987	0.9985	0.9859						
853	0.9991	0.9985	0.9859						
853.5	0.9991	0.9985	0.986						
854	0.9987	0.9985	0.986						
854.5	0.9987	0.9985	0.986						
855	0.9991	0.9985	0.9861						
855.5	0.9992	0.9985	0.9861						
856	0.9994	0.9985	0.9862						
856.5	0.9996	0.9986	0.9862						
857	0.9996	0.9986	0.9862						
857.5	0.9994	0.9986	0.9863						
858	0.9996	0.9987	0.9863						
858.5	0.9998	0.9987	0.9863						
859	0.9998	0.9987	0.9863						
859.5	0.9999	0.9988	0.9864						
860	1	0.9988	0.9864						
860.5	1	0.9989	0.9864						
861	0.9999	0.9989	0.9865						
861.5	0.9999	0.9989	0.9865						
862	1	0.999	0.9865						
862.5	1	0.999	0.9866						
863	1	0.9991	0.9866						
863.5	1	0.9991	0.9866						
864	1	0.9992	0.9866						
864.5	1	0.9992	0.9867						
865	1	0.9992	0.9867						
865.5	1	0.9993	0.9867						
866	1	0.9993	0.9868						
866.5	1	0.9993	0.9868						
867	1	0.9994	0.9868						
867.5	1	0.9994	0.9869						
868	1	0.9994	0.9869						
868.5	1	0.9994	0.9869						
869	1	0.9994	0.987						
869.5	1	0.9995	0.987						
870	1	0.9995	0.987						
870.5	1	0.9995	0.987						
871	1	0.9995	0.9871						
871.5	1	0.9995	0.9871						
872	1	0.9995	0.9871						
872.5	1	0.9995	0.9872						
873	1	0.9995	0.9872						
873.5	1	0.9995	0.9872						
874	1	0.9996	0.9873						
874.5	1	0.9996	0.9873						
875	1	0.9996	0.9873						
875.5	0.9999	0.9996	0.9873						
876	0.9999	0.9996	0.9874						
876.5	0.9999	0.9996	0.9874						
877	0.9999	0.9996	0.9874						
877.5	0.9999	0.9996	0.9875						
878	0.9998	0.9996	0.9875						
878.5	0.9997	0.9996	0.9875						
879	0.9998	0.9996	0.9875						
879.5	0.9998	0.9996	0.9876						
880	0.9997	0.9996	0.9876						
880.5	0.9995	0.9996	0.9876						
881	0.9994	0.9996	0.9877						
881.5	0.9994	0.9996	0.9877						
882	0.9992	0.9996	0.9877						
882.5	0.9992	0.9995	0.9877						
883	0.9994	0.9995	0.9878						
883.5	0.9992	0.9995	0.9878						
884	0.9993	0.9995	0.9878						
884.5	0.9995	0.9995	0.9879						
885	0.9993	0.9995	0.9879						
885.5	0.9987	0.9995	0.9879						
886	0.9976	0.9995	0.9879						
886.5	0.9978	0.9995	0.988						
887	0.9984	0.9995	0.988						
887.5	0.9983	0.9995	0.988						
888	0.9973	0.9995	0.988						
888.5	0.9978	0.9995	0.9881						
889	0.9991	0.9995	0.9881						
889.5	0.9989	0.9995	0.9881						
890	0.9979	0.9995	0.9882						
890.5	0.9977	0.9995	0.9882						
891	0.9982	0.9995	0.9882						
891.5	0.9976	0.9995	0.9882						
892	0.996	0.9995	0.9883						
892.5	0.9947	0.9995	0.9883						
893	0.9888	0.9994	0.9883						
893.5	0.9852	0.9994	0.9883						
894	0.9869	0.9994	0.9884						
894.5	0.9809	0.9994	0.9884						
895	0.9688	0.9994	0.9884						
895.5	0.9526	0.9994	0.9884						
896	0.9413	0.9994	0.9885						
896.5	0.9252	0.9993	0.9885						
897	0.9195	0.9993	0.9885						
897.5	0.931	0.9993	0.9885						
898	0.9383	0.9993	0.9886						
898.5	0.8994	0.9993	0.9886						
899	0.8481	0.9993	0.9886						
899.5	0.8718	0.9993	0.9886						
900	0.9046	0.9994	0.9887						
900.5	0.8934	0.9994	0.9887						
901	0.8978	0.9994	0.9887						
901.5	0.9084	0.9994	0.9887						
902	0.9066	0.9994	0.9888						
902.5	0.9001	0.9994	0.9888						
903	0.913	0.9994	0.9888						
903.5	0.9487	0.9995	0.9888						
904	0.9715	0.9995	0.9889						
904.5	0.9679	0.9995	0.9889						
905	0.9628	0.9995	0.9889						
905.5	0.9624	0.9995	0.9889						
906	0.9579	0.9996	0.989						
906.5	0.9332	0.9996	0.989						
907	0.907	0.9996	0.989						
907.5	0.8975	0.9996	0.989						
908	0.8946	0.9996	0.9891						
908.5	0.8989	0.9996	0.9891						
909	0.9013	0.9997	0.9891						
909.5	0.9067	0.9997	0.9891						
910	0.9108	0.9997	0.9892						
910.5	0.9036	0.9997	0.9892						
911	0.9174	0.9997	0.9892						
911.5	0.9233	0.9997	0.9892						
912	0.9117	0.9997	0.9893						
912.5	0.9253	0.9997	0.9893						
913	0.8996	0.9997	0.9893						
913.5	0.8714	0.9998	0.9893						
914	0.895	0.9998	0.9893						
914.5	0.9313	0.9998	0.9894						
915	0.9202	0.9998	0.9894						
915.5	0.8712	0.9998	0.9894						
916	0.885	0.9998	0.9894						
916.5	0.9352	0.9998	0.9895						
917	0.9386	0.9998	0.9895						
917.5	0.9053	0.9998	0.9895						
918	0.8915	0.9998	0.9895						
918.5	0.9193	0.9998	0.9896						
919	0.9472	0.9998	0.9896						
919.5	0.955	0.9998	0.9896						
920	0.9549	0.9998	0.9896						
920.5	0.9691	0.9998	0.9896						
921	0.9683	0.9998	0.9897						
921.5	0.9559	0.9998	0.9897						
922	0.9552	0.9998	0.9897						
922.5	0.9653	0.9998	0.9897						
923	0.9648	0.9998	0.9898						
923.5	0.9602	0.9998	0.9898						
924	0.9546	0.9998	0.9898						
924.5	0.95	0.9998	0.9898						
925	0.9491	0.9998	0.9898						
925.5	0.9546	0.9998	0.9899						
926	0.9589	0.9998	0.9899						
926.5	0.9614	0.9998	0.9899						
927	0.9674	0.9998	0.9899						
927.5	0.9423	0.9998	0.99						
928	0.9071	0.9998	0.99						
928.5	0.9017	0.9998	0.99						
929	0.8916	0.9998	0.99						
929.5	0.8727	0.9998	0.99						
930	0.8347	0.9998	0.9901						
930.5	0.8013	0.9998	0.9901						
931	0.7687	0.9998	0.9901						
931.5	0.7323	0.9998	0.9901						
932	0.6623	0.9998	0.9901						
932.5	0.6366	0.9998	0.9902						
933	0.644	0.9998	0.9902						
933.5	0.6256	0.9998	0.9902						
934	0.5521	0.9998	0.9902						
934.5	0.5262	0.9998	0.9903						
935	0.6118	0.9998	0.9903						
935.5	0.6373	0.9998	0.9903						
936	0.6118	0.9998	0.9903						
936.5	0.6225	0.9998	0.9903						
937	0.6049	0.9998	0.9904						
937.5	0.6367	0.9998	0.9904						
938	0.6476	0.9997	0.9904						
938.5	0.661	0.9997	0.9904						
939	0.7494	0.9997	0.9904						
939.5	0.8427	0.9997	0.9905						
940	0.8288	0.9997	0.9905						
940.5	0.7784	0.9997	0.9905						
941	0.7746	0.9996	0.9905						
941.5	0.8034	0.9996	0.9905						
942	0.7976	0.9996	0.9906						
942.5	0.722	0.9996	0.9906						
943	0.6662	0.9996	0.9906						
943.5	0.7105	0.9996	0.9906						
944	0.674	0.9996	0.9906						
944.5	0.6413	0.9996	0.9907						
945	0.7247	0.9996	0.9907						
945.5	0.7391	0.9996	0.9907						
946	0.6912	0.9996	0.9907						
946.5	0.7089	0.9996	0.9907						
947	0.7565	0.9996	0.9908						
947.5	0.7506	0.9996	0.9908						
948	0.6857	0.9997	0.9908						
948.5	0.7123	0.9997	0.9908						
949	0.8069	0.9997	0.9908						
949.5	0.7565	0.9997	0.9909						
950	0.6848	0.9997	0.9909						
950.5	0.7367	0.9998	0.9909						
951	0.8287	0.9998	0.9909						
951.5	0.8153	0.9998	0.9909						
952	0.7157	0.9998	0.9909						
952.5	0.6897	0.9998	0.991						
953	0.7443	0.9998	0.991						
953.5	0.7779	0.9998	0.991						
954	0.7872	0.9998	0.991						
954.5	0.7748	0.9998	0.9911						
955	0.78	0.9998	0.9911						
955.5	0.7651	0.9998	0.9911						
956	0.7501	0.9998	0.9911						
956.5	0.7546	0.9998	0.9911						
957	0.7648	0.9999	0.9911						
957.5	0.8269	0.9999	0.9912						
958	0.8332	0.9999	0.9912						
958.5	0.8036	0.9999	0.9912						
959	0.7765	0.9999	0.9912						
959.5	0.757	0.9999	0.9912						
960	0.7897	0.9999	0.9913						
960.5	0.8206	0.9999	0.9913						
961	0.8416	0.9999	0.9913						
961.5	0.8625	0.9999	0.9913						
962	0.8415	0.9999	0.9913						
962.5	0.8019	0.9999	0.9913						
963	0.8347	0.9999	0.9914						
963.5	0.8681	0.9999	0.9914						
964	0.8571	0.9999	0.9914						
964.5	0.8575	0.9999	0.9914						
965	0.8738	0.9999	0.9914						
965.5	0.8986	0.9999	0.9915						
966	0.88	0.9999	0.9915						
966.5	0.8449	0.9999	0.9915						
967	0.8629	0.9999	0.9915						
967.5	0.9316	0.9999	0.9915						
968	0.9549	0.9999	0.9915						
968.5	0.9352	0.9999	0.9916						
969	0.9481	0.9999	0.9916						
969.5	0.9612	0.9999	0.9916						
970	0.951	0.9999	0.9916						
970.5	0.9468	0.9999	0.9916						
971	0.9587	0.9999	0.9916						
971.5	0.9489	0.9999	0.9917						
972	0.9454	0.9999	0.9917						
972.5	0.9428	1	0.9917						
973	0.9303	1	0.9917						
973.5	0.9225	1	0.9917						
974	0.9201	1	0.9917						
974.5	0.9104	1	0.9918						
975	0.9019	1	0.9918						
975.5	0.9057	1	0.9918						
976	0.9018	1	0.9918						
976.5	0.912	1	0.9918						
977	0.9399	1	0.9918						
977.5	0.9523	1	0.9919						
978	0.9428	1	0.9919						
978.5	0.9374	1	0.9919						
979	0.9365	1	0.9919						
979.5	0.9328	1	0.9919						
980	0.9394	1	0.9919						
980.5	0.9466	1	0.992						
981	0.9719	1	0.992						
981.5	0.979	1	0.992						
982	0.9744	1	0.992						
982.5	0.9676	1	0.992						
983	0.9659	1	0.992						
983.5	0.9802	1	0.9921						
984	0.9891	0.9999	0.9921						
984.5	0.9837	0.9999	0.9921						
985	0.9778	0.9999	0.9921						
985.5	0.9844	0.9999	0.9921						
986	0.9933	0.9999	0.9921						
986.5	0.9953	0.9999	0.9922						
987	0.9927	0.9999	0.9922						
987.5	0.9905	0.9999	0.9922						
988	0.9931	0.9999	0.9922						
988.5	0.9966	0.9999	0.9922						
989	0.9972	0.9999	0.9922						
989.5	0.9959	0.9998	0.9923						
990	0.9942	0.9998	0.9923						
990.5	0.9952	0.9997	0.9923						
991	0.9967	0.9997	0.9923						
991.5	0.9974	0.9997	0.9923						
992	0.9976	0.9997	0.9923						
992.5	0.997	0.9997	0.9923						
993	0.9956	0.9998	0.9924						
993.5	0.9968	0.9998	0.9924						
994	0.9985	0.9998	0.9924						
994.5	0.9991	0.9998	0.9924						
995	0.9992	0.9998	0.9924						
995.5	0.999	0.9998	0.9924						
996	0.9989	0.9998	0.9924						
996.5	0.9991	0.9998	0.9925						
997	0.999	0.9999	0.9925						
997.5	0.999	0.9999	0.9925						
998	0.9988	0.9999	0.9925						
998.5	0.9988	0.9999	0.9925						
999	0.9986	0.9999	0.9925						
999.5	0.9981	0.9999	0.9926						
1000	0.9983	0.9999	0.9926						
1000.5	0.9992	0.9999	0.9926						
1001	0.9991	0.9999	0.9926						
1001.5	0.9969	0.9999	0.9926						
1002	0.9947	0.9999	0.9926						
1002.5	0.9959	0.9999	0.9926						
1003	0.9983	0.9999	0.9927						
1003.5	0.9989	0.9999	0.9927						
1004	0.9981	0.9999	0.9927						
1004.5	0.9981	1	0.9927						
1005	0.9984	1	0.9927						
1005.5	0.9983	1	0.9927						
1006	0.9986	1	0.9927						
1006.5	0.9989	1	0.9928						
1007	0.9989	1	0.9928						
1007.5	0.9987	1	0.9928						
1008	0.9981	1	0.9928						
1008.5	0.9977	1	0.9928						
1009	0.9963	1	0.9928						
1009.5	0.995	1	0.9928						
1010	0.9961	1	0.9929						
1010.5	0.9981	1	0.9929						
1011	0.9991	1	0.9929						
1011.5	0.9988	1	0.9929						
1012	0.9982	1	0.9929						
1012.5	0.9985	1	0.9929						
1013	0.9991	1	0.9929						
1013.5	0.9994	1	0.993						
1014	0.9992	1	0.993						
1014.5	0.9988	1	0.993						
1015	0.9989	1	0.993						
1015.5	0.9989	1	0.993						
1016	0.9989	1	0.993						
1016.5	0.9991	1	0.993						
1017	0.9989	1	0.993						
1017.5	0.9991	1	0.9931						
1018	0.9996	1	0.9931						
1018.5	0.9994	1	0.9931						
1019	0.9982	1	0.9931						
1019.5	0.9977	1	0.9931						
1020	0.9988	1	0.9931						
1020.5	0.9993	1	0.9931						
1021	0.9994	1	0.9932						
1021.5	0.9992	1	0.9932						
1022	0.999	1	0.9932						
1022.5	0.999	1	0.9932						
1023	0.9984	1	0.9932						
1023.5	0.9976	1	0.9932						
1024	0.9972	1	0.9932						
1024.5	0.9983	1	0.9933						
1025	0.9992	1	0.9933						
1025.5	0.9992	1	0.9933						
1026	0.9992	1	0.9933						
1026.5	0.9995	1	0.9933						
1027	0.9992	1	0.9933						
1027.5	0.9988	1	0.9933						
1028	0.999	1	0.9933						
1028.5	0.9992	1	0.9934						
1029	0.9992	1	0.9934						
1029.5	0.9995	1	0.9934						
1030	0.9997	1	0.9934						
1030.5	0.9998	1	0.9934						
1031	0.9997	1	0.9934						
1031.5	0.9996	1	0.9934						
1032	0.9998	1	0.9935						
1032.5	0.9999	1	0.9935						
1033	0.9999	1	0.9935						
1033.5	0.9998	1	0.9935						
1034	0.9998	1	0.9935						
1034.5	1	1	0.9935						
1035	1	1	0.9935						
1035.5	0.9999	1	0.9935						
1036	0.9999	1	0.9935						
1036.5	0.9999	1	0.9936						
1037	1	1	0.9936						
1037.5	1	1	0.9936						
1038	1	1	0.9936						
1038.5	1	1	0.9936						
1039	1	1	0.9936						
1039.5	1	1	0.9936						
1040	1	1	0.9937						
1040.5	1	1	0.9937						
1041	1	1	0.9937						
1041.5	1	1	0.9937						
1042	1	1	0.9937						
1042.5	1	1	0.9937						
1043	1	1	0.9937						
1043.5	1	1	0.9937						
1044	1	1	0.9937						
1044.5	1	1	0.9938						
1045	1	0.9999	0.9938						
1045.5	1	0.9999	0.9938						
1046	1	0.9999	0.9938						
1046.5	1	0.9999	0.9938						
1047	1	0.9999	0.9938						
1047.5	1	0.9999	0.9938						
1048	1	0.9999	0.9938						
1048.5	1	0.9999	0.9939						
1049	1	0.9999	0.9939						
1049.5	1	0.9999	0.9939						
1050	1	0.9999	0.9939						
1050.5	1	0.9999	0.9939						
1051	1	1	0.9939						
1051.5	1	1	0.9939						
1052	1	1	0.9939						
1052.5	1	1	0.994						
1053	1	1	0.994						
1053.5	1	1	0.994						
1054	1	1	0.994						
1054.5	1	1	0.994						
1055	1	1	0.994						
1055.5	1	1	0.994						
1056	1	1	0.994						
1056.5	1	1	0.994						
1057	1	1	0.9941						
1057.5	1	1	0.9941						
1058	1	1	0.9941						
