361976 U	S STAND	ARD							
2.70000 1	0	0  33.6	0000 11	6.44261	0	0.57	065   0	0	
									
WL	H2O	O3	MOLEC						
(NM)	TRANS	TRANS	SCAT						
356	1	0.9997	0.6025						
356.5	1	0.9996	0.6043						
357	1	0.9995	0.6061						
357.5	1	0.9995	0.6079						
358	1	0.9996	0.6097						
358.5	1	0.9997	0.6114						
359	1	0.9997	0.6132						
359.5	1	0.9996	0.6149						
360	1	0.9996	0.6167						
360.5	1	0.9997	0.6184						
361	1	0.9997	0.6201						
361.5	1	0.9997	0.6219						
362	1	0.9998	0.6236						
362.5	1	0.9998	0.6253						
363	1	0.9999	0.627						
363.5	1	0.9999	0.6287						
364	1	0.9999	0.6304						
364.5	1	0.9998	0.632						
365	1	0.9999	0.6337						
365.5	1	0.9999	0.6354						
366	1	1	0.637						
366.5	1	1	0.6387						
367	1	1	0.6403						
367.5	1	1	0.6419						
368	1	1	0.6435						
368.5	1	1	0.6452						
369	1	1	0.6468						
369.5	1	1	0.6484						
370	1	1	0.65						
370.5	1	1	0.6515						
371	1	1	0.6531						
371.5	1	1	0.6547						
372	1	1	0.6562						
372.5	1	1	0.6578						
373	1	1	0.6593						
373.5	1	1	0.6609						
374	1	1	0.6624						
374.5	1	1	0.6639						
375	1	1	0.6655						
375.5	1	1	0.667						
376	1	1	0.6685						
376.5	1	1	0.67						
377	1	1	0.6715						
377.5	1	1	0.6729						
378	1	1	0.6744						
378.5	1	1	0.6759						
379	1	1	0.6773						
379.5	1	1	0.6788						
380	1	1	0.6802						
380.5	1	1	0.6817						
381	1	1	0.6831						
381.5	1	1	0.6845						
382	1	1	0.686						
382.5	1	1	0.6874						
383	1	1	0.6888						
383.5	1	1	0.6902						
384	1	1	0.6915						
384.5	1	1	0.6929						
385	1	1	0.6943						
385.5	1	1	0.6957						
386	1	1	0.697						
386.5	1	1	0.6984						
387	1	1	0.6998						
387.5	1	1	0.7011						
388	1	1	0.7025						
388.5	1	1	0.7038						
389	1	1	0.7051						
389.5	1	1	0.7064						
390	1	1	0.7078						
390.5	1	1	0.7091						
391	1	1	0.7104						
391.5	1	1	0.7116						
392	1	1	0.7129						
392.5	1	1	0.7142						
393	1	1	0.7155						
393.5	1	1	0.7167						
394	1	1	0.718						
394.5	1	1	0.7193						
395	1	1	0.7205						
395.5	1	1	0.7217						
396	1	1	0.723						
396.5	1	1	0.7242						
397	1	1	0.7254						
397.5	1	1	0.7267						
398	1	1	0.7279						
398.5	1	1	0.7291						
399	1	1	0.7303						
399.5	1	1	0.7315						
400	1	1	0.7327						
400.5	1	1	0.7338						
401	1	1	0.735						
401.5	1	1	0.7362						
402	1	1	0.7374						
402.5	1	1	0.7385						
403	1	1	0.7397						
403.5	1	1	0.7408						
404	1	1	0.742						
404.5	1	1	0.7431						
405	1	1	0.7442						
405.5	1	1	0.7454						
406	1	1	0.7465						
406.5	1	1	0.7476						
407	1	1	0.7487						
407.5	1	1	0.7498						
408	1	0.9999	0.7509						
408.5	1	0.9999	0.752						
409	1	0.9999	0.7531						
409.5	1	0.9999	0.7542						
410	1	0.9999	0.7552						
410.5	1	0.9999	0.7563						
411	1	0.9999	0.7574						
411.5	1	0.9999	0.7584						
412	1	0.9999	0.7595						
412.5	1	0.9999	0.7606						
413	1	0.9999	0.7616						
413.5	1	0.9999	0.7626						
414	1	0.9999	0.7637						
414.5	1	0.9999	0.7647						
415	1	0.9999	0.7657						
415.5	1	0.9999	0.7668						
416	1	0.9999	0.7678						
416.5	1	0.9999	0.7688						
417	1	0.9998	0.7698						
417.5	1	0.9998	0.7708						
418	1	0.9998	0.7718						
418.5	1	0.9998	0.7728						
419	1	0.9998	0.7737						
419.5	1	0.9998	0.7747						
420	1	0.9998	0.7757						
420.5	1	0.9998	0.7767						
421	1	0.9998	0.7776						
421.5	1	0.9998	0.7786						
422	1	0.9998	0.7795						
422.5	1	0.9998	0.7805						
423	1	0.9997	0.7814						
423.5	1	0.9997	0.7824						
424	1	0.9997	0.7833						
424.5	1	0.9996	0.7843						
425	1	0.9996	0.7852						
425.5	1	0.9996	0.7861						
426	1	0.9995	0.787						
426.5	1	0.9995	0.7879						
427	1	0.9995	0.7889						
427.5	1	0.9996	0.7898						
428	1	0.9996	0.7907						
428.5	1	0.9996	0.7916						
429	1	0.9996	0.7924						
429.5	1	0.9996	0.7933						
430	1	0.9996	0.7942						
430.5	1	0.9996	0.7951						
431	1	0.9996	0.796						
431.5	1	0.9995	0.7968						
432	1	0.9995	0.7977						
432.5	1	0.9995	0.7986						
433	1	0.9994	0.7994						
433.5	1	0.9994	0.8003						
434	1	0.9994	0.8011						
434.5	1	0.9994	0.802						
435	1	0.9994	0.8028						
435.5	1	0.9994	0.8036						
436	1	0.9994	0.8045						
436.5	1	0.9994	0.8053						
437	1	0.9994	0.8061						
437.5	1	0.9993	0.8069						
438	1	0.9993	0.8078						
438.5	1	0.9992	0.8086						
439	1	0.9991	0.8094						
439.5	1	0.9991	0.8102						
440	1	0.999	0.811						
440.5	1	0.9989	0.8118						
441	1	0.9988	0.8126						
441.5	0.9999	0.9987	0.8134						
442	0.9998	0.9987	0.8141						
442.5	0.9996	0.9986	0.8149						
443	0.9996	0.9986	0.8157						
443.5	0.9998	0.9986	0.8165						
444	0.9998	0.9986	0.8172						
444.5	0.9998	0.9986	0.818						
445	0.9998	0.9987	0.8188						
445.5	0.9998	0.9987	0.8195						
446	0.9998	0.9987	0.8203						
446.5	0.9999	0.9988	0.821						
447	0.9999	0.9988	0.8218						
447.5	1	0.9988	0.8225						
448	1	0.9988	0.8233						
448.5	1	0.9987	0.824						
449	1	0.9986	0.8247						
449.5	1	0.9986	0.8255						
450	1	0.9985	0.8262						
450.5	1	0.9985	0.8269						
451	1	0.9984	0.8276						
451.5	1	0.9984	0.8283						
452	1	0.9984	0.8291						
452.5	1	0.9984	0.8298						
453	1	0.9984	0.8305						
453.5	1	0.9984	0.8312						
454	1	0.9984	0.8319						
454.5	1	0.9983	0.8326						
455	1	0.9983	0.8332						
455.5	1	0.9982	0.8339						
456	1	0.9981	0.8346						
456.5	1	0.998	0.8353						
457	1	0.9978	0.836						
457.5	1	0.9977	0.8366						
458	1	0.9975	0.8373						
458.5	1	0.9973	0.838						
459	1	0.9971	0.8386						
459.5	1	0.9969	0.8393						
460	1	0.9968	0.84						
460.5	1	0.9966	0.8406						
461	1	0.9965	0.8413						
461.5	1	0.9965	0.8419						
462	1	0.9964	0.8426						
462.5	1	0.9964	0.8432						
463	1	0.9964	0.8438						
463.5	1	0.9965	0.8445						
464	1	0.9966	0.8451						
464.5	1	0.9967	0.8457						
465	1	0.9968	0.8464						
465.5	1	0.9969	0.847						
466	1	0.9969	0.8476						
466.5	1	0.9969	0.8482						
467	1	0.9968	0.8488						
467.5	1	0.9967	0.8495						
468	1	0.9966	0.8501						
468.5	1	0.9965	0.8507						
469	0.9999	0.9964	0.8513						
469.5	0.9999	0.9963	0.8519						
470	0.9999	0.9963	0.8525						
470.5	0.9999	0.9962	0.8531						
471	0.9999	0.9961	0.8537						
471.5	0.9999	0.9961	0.8542						
472	0.9999	0.9961	0.8548						
472.5	0.9999	0.9961	0.8554						
473	0.9999	0.9961	0.856						
473.5	0.9999	0.996	0.8566						
474	1	0.996	0.8571						
474.5	1	0.9958	0.8577						
475	1	0.9956	0.8583						
475.5	1	0.9954	0.8589						
476	1	0.9952	0.8594						
476.5	1	0.9949	0.86						
477	1	0.9946	0.8605						
477.5	1	0.9942	0.8611						
478	1	0.9939	0.8616						
478.5	1	0.9936	0.8622						
479	1	0.9932	0.8627						
479.5	1	0.9929	0.8633						
480	1	0.9925	0.8638						
480.5	1	0.9922	0.8644						
481	1	0.992	0.8649						
481.5	1	0.9918	0.8654						
482	1	0.9917	0.866						
482.5	1	0.9916	0.8665						
483	1	0.9916	0.867						
483.5	1	0.9917	0.8676						
484	1	0.9918	0.8681						
484.5	1	0.992	0.8686						
485	0.9999	0.9922	0.8691						
485.5	0.9999	0.9923	0.8696						
486	0.9999	0.9924	0.8701						
486.5	1	0.9925	0.8707						
487	0.9999	0.9925	0.8712						
487.5	0.9999	0.9925	0.8717						
488	0.9999	0.9924	0.8722						
488.5	0.9999	0.9923	0.8727						
489	0.9999	0.9922	0.8732						
489.5	0.9999	0.992	0.8737						
